italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
addormentare,to put to sleep,sto addormentando,I am putting to sleep,stai addormentando,you are putting to sleep,sta addormentando,he/she is putting to sleep,stiamo addormentando,we are putting to sleep,state addormentando,you all are putting to sleep,stanno addormentando,they are putting to sleep
impadronirsi,to take possession of,mi sto impadronendo,I am taking possession,ti stai impadronendo,you are taking possession,si sta impadronendo,he/she is taking possession,ci stiamo impadronendo,we are taking possession,vi state impadronendo,you all are taking possession,si stanno impadronendo,they are taking possession
predeterminare,to predetermine,sto predeterminando,I am predetermining,stai predeterminando,you are predetermining,sta predeterminando,he/she is predetermining,stiamo predeterminando,we are predetermining,state predeterminando,you all are predetermining,stanno predeterminando,they are predetermining
generalizzare,to generalize,sto generalizzando,I am generalizing,stai generalizzando,you are generalizing,sta generalizzando,he/she is generalizing,stiamo generalizzando,we are generalizing,state generalizzando,you all are generalizing,stanno generalizzando,they are generalizing
demolire,to demolish,sto demolendo,I am demolishing,stai demolendo,you are demolishing,sta demolendo,he/she is demolishing,stiamo demolendo,we are demolishing,state demolendo,you all are demolishing,stanno demolendo,they are demolishing
intimare,to summon,sto intimando,I am ordering,stai intimando,you are ordering,sta intimando,he/she is ordering,stiamo intimando,we are ordering,state intimando,you all are ordering,stanno intimando,they are ordering
autogestire,to self-manage,sto autogestendo,I am self-managing,stai autogestendo,you are self-managing,sta autogestendo,he/she is self-managing,stiamo autogestendo,we are self-managing,state autogestendo,you all are self-managing,stanno autogestendo,they are self-managing
ergere,to erect,sto ergendo,I am erecting,stai ergendo,you are erecting,sta ergendo,he/she is erecting,stiamo ergendo,we are erecting,state ergendo,you all are erecting,stanno ergendo,they are erecting
ancorare,to anchor,sto ancorando,I am anchoring,stai ancorando,you are anchoring,sta ancorando,he/she is anchoring,stiamo ancorando,we are anchoring,state ancorando,you all are anchoring,stanno ancorando,they are anchoring
allevare,to raise,sto allevando,I am raising,stai allevando,you are raising,sta allevando,he/she is raising,stiamo allevando,we are raising,state allevando,you all are raising,stanno allevando,they are raising
ripulire,to clean up,sto ripulendo,I am cleaning up,stai ripulendo,you are cleaning up,sta ripulendo,he/she is cleaning up,stiamo ripulendo,we are cleaning up,state ripulendo,you all are cleaning up,stanno ripulendo,they are cleaning up
vanificare,to make vain,sto vanificando,I am nullifying,stai vanificando,you are nullifying,sta vanificando,he/she is nullifying,stiamo vanificando,we are nullifying,state vanificando,you all are nullifying,stanno vanificando,they are nullifying
stravolgere,to distort,sto stravolgendo,I am distorting,stai stravolgendo,you are distorting,sta stravolgendo,he/she is distorting,stiamo stravolgendo,we are distorting,state stravolgendo,you all are distorting,stanno stravolgendo,they are distorting
rimpiangere,to regret,sto rimpiangendo,I am regretting,stai rimpiangendo,you are regretting,sta rimpiangendo,he/she is regretting,stiamo rimpiangendo,we are regretting,state rimpiangendo,you all are regretting,stanno rimpiangendo,they are regretting
cagare,to shit,sto cagando,I am pooping,stai cagando,you are pooping,sta cagando,he/she is pooping,stiamo cagando,we are pooping,state cagando,you all are pooping,stanno cagando,they are pooping
affettare,to slice,sto affettando,I am slicing,stai affettando,you are slicing,sta affettando,he/she is slicing,stiamo affettando,we are slicing,state affettando,you all are slicing,stanno affettando,they are slicing
mediare,to mediate,sto mediando,I am mediating,stai mediando,you are mediating,sta mediando,he/she is mediating,stiamo mediando,we are mediating,state mediando,you all are mediating,stanno mediando,they are mediating
marcare,to mark,sto marcando,I am marking,stai marcando,you are marking,sta marcando,he/she is marking,stiamo marcando,we are marking,state marcando,you all are marking,stanno marcando,they are marking
protrarre,to extend,sto protraendo,I am extending,stai protraendo,you are extending,sta protraendo,he/she is extending,stiamo protraendo,we are extending,state protraendo,you all are extending,stanno protraendo,they are extending
riequilibrare,to rebalance,sto riequilibrando,I am rebalancing,stai riequilibrando,you are rebalancing,sta riequilibrando,he/she is rebalancing,stiamo riequilibrando,we are rebalancing,state riequilibrando,you all are rebalancing,stanno riequilibrando,they are rebalancing
accingere,to prepare,sto accingendo,I am preparing,stai accingendo,you are preparing,sta accingendo,he/she is preparing,stiamo accingendo,we are preparing,state accingendo,you all are preparing,stanno accingendo,they are preparing
localizzare,to localize,sto localizzando,I am locating,stai localizzando,you are locating,sta localizzando,he/she is locating,stiamo localizzando,we are locating,state localizzando,you all are locating,stanno localizzando,they are locating
rosolare,to brown,sto rosolando,I am browning,stai rosolando,you are browning,sta rosolando,he/she is browning,stiamo rosolando,we are browning,state rosolando,you all are browning,stanno rosolando,they are browning
dismettere,to decommission,sto dismettendo,I am decommissioning,stai dismettendo,you are decommissioning,sta dismettendo,he/she is decommissioning,stiamo dismettendo,we are decommissioning,state dismettendo,you all are decommissioning,stanno dismettendo,they are decommissioning
omologare,to approve,sto omologando,I am homologating,stai omologando,you are homologating,sta omologando,he/she is homologating,stiamo omologando,we are homologating,state omologando,you all are homologating,stanno omologando,they are homologating
vendicare,to avenge,sto vendicando,I am avenging,stai vendicando,you are avenging,sta vendicando,he/she is avenging,stiamo vendicando,we are avenging,state vendicando,you all are avenging,stanno vendicando,they are avenging
insinuare,to insinuate,sto insinuando,I am insinuating,stai insinuando,you are insinuating,sta insinuando,he/she is insinuating,stiamo insinuando,we are insinuating,state insinuando,you all are insinuating,stanno insinuando,they are insinuating
commuovere,to move,sto commuovendo,I am moving emotionally,stai commuovendo,you are moving emotionally,sta commuovendo,he/she is moving emotionally,stiamo commuovendo,we are moving emotionally,state commuovendo,you all are moving emotionally,stanno commuovendo,they are moving emotionally
riordinare,to reorganize,sto riordinando,I am tidying up,stai riordinando,you are tidying up,sta riordinando,he/she is tidying up,stiamo riordinando,we are tidying up,state riordinando,you all are tidying up,stanno riordinando,they are tidying up
sciorare,to air out,sto sciorando,I am airing out,stai sciorando,you are airing out,sta sciorando,he/she is airing out,stiamo sciorando,we are airing out,state sciorando,you all are airing out,stanno sciorando,they are airing out
erigere,to erect,sto erigendo,I am erecting,stai erigendo,you are erecting,sta erigendo,he/she is erecting,stiamo erigendo,we are erecting,state erigendo,you all are erecting,stanno erigendo,they are erecting
informatizzare,to computerize,sto informatizzando,I am computerizing,stai informatizzando,you are computerizing,sta informatizzando,he/she is computerizing,stiamo informatizzando,we are computerizing,state informatizzando,you all are computerizing,stanno informatizzando,they are computerizing
restringere,to restrict,sto restringendo,I am narrowing,stai restringendo,you are narrowing,sta restringendo,he/she is narrowing,stiamo restringendo,we are narrowing,state restringendo,you all are narrowing,stanno restringendo,they are narrowing
diplomare,to graduate/to award a diploma,sto diplomando,I am graduating,stai diplomando,you are graduating,sta diplomando,he/she is graduating,stiamo diplomando,we are graduating,state diplomando,you all are graduating,stanno diplomando,they are graduating
contrattare,to negotiate,sto contrattando,I am negotiating,stai contrattando,you are negotiating,sta contrattando,he/she is negotiating,stiamo contrattando,we are negotiating,state contrattando,you all are negotiating,stanno contrattando,they are negotiating
incollare,to glue,sto incollando,I am gluing,stai incollando,you are gluing,sta incollando,he/she is gluing,stiamo incollando,we are gluing,state incollando,you all are gluing,stanno incollando,they are gluing
ledere,to harm/to injure,sto ledendo,I am harming,stai ledendo,you are harming,sta ledendo,he/she is harming,stiamo ledendo,we are harming,state ledendo,you all are harming,stanno ledendo,they are harming
persistere,to persist,sto persistendo,I am persisting,stai persistendo,you are persisting,sta persistendo,he/she is persisting,stiamo persistendo,we are persisting,state persistendo,you all are persisting,stanno persistendo,they are persisting
discostare,to move away,sto discostando,I am moving away,stai discostando,you are moving away,sta discostando,he/she is moving away,stiamo discostando,we are moving away,state discostando,you all are moving away,stanno discostando,they are moving away
parimentare,to pave,sto parimentando,I am paving,stai parimentando,you are paving,sta parimentando,he/she is paving,stiamo parimentando,we are paving,state parimentando,you all are paving,stanno parimentando,they are paving
gratificare,to gratify,sto gratificando,I am gratifying,stai gratificando,you are gratifying,sta gratificando,he/she is gratifying,stiamo gratificando,we are gratifying,state gratificando,you all are gratifying,stanno gratificando,they are gratifying
annotare,to annotate/to note down,sto annotando,I am noting down,stai annotando,you are noting down,sta annotando,he/she is noting down,stiamo annotando,we are noting down,state annotando,you all are noting down,stanno annotando,they are noting down
